연도,시도,시군구,사고건수,사망자수,부상자수,치사율,차대사람,차대차,차량단독,철길건널목,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,교차로 통행방법 위반,기타
2019,강원도,강원도 강릉시,888,14,1360,1.58,187,682,19,0,5,54,99,9,661,1,43,16
2019,강원도,강원도 고성군,138,1,220,0.72,14,121,3,0,0,15,9,14,92,2,0,6
2019,강원도,강원도 동해시,358,7,494,1.96,69,273,15,1,0,10,33,51,179,20,26,39
2019,강원도,강원도 삼척시,414,16,642,3.86,76,291,47,0,3,27,28,52,210,18,19,57
2019,강원도,강원도 속초시,391,8,592,2.05,97,287,7,0,0,18,40,13,211,24,15,70
2019,강원도,강원도 양구군,88,2,156,2.27,16,64,8,0,4,8,2,1,34,22,5,12
2019,강원도,강원도 양양군,178,9,345,5.06,34,129,15,0,1,13,10,9,114,13,1,17
2019,강원도,강원도 영월군,156,4,252,2.56,28,101,27,0,2,13,1,9,84,28,10,9
2019,강원도,강원도 원주시,1985,34,3000,1.71,336,1597,52,0,6,85,268,209,962,199,98,158
2019,강원도,강원도 인제군,94,8,148,8.51,13,70,11,0,5,17,4,5,58,0,1,4
2019,강원도,강원도 정선군,107,6,169,5.61,21,83,3,0,4,18,9,1,63,5,4,3
2019,강원도,강원도 철원군,144,12,220,8.33,15,117,12,0,1,19,8,6,52,25,4,29
2019,강원도,강원도 춘천시,1590,23,2443,1.45,285,1262,43,0,3,93,167,221,719,173,86,128
2019,강원도,강원도 태백시,177,2,267,1.13,41,125,11,0,1,11,9,0,117,13,11,15
2019,강원도,강원도 평창군,183,5,344,2.73,24,146,13,0,5,24,16,8,117,2,5,6
2019,강원도,강원도 홍천군,359,16,551,4.46,66,259,34,0,4,26,9,29,183,73,11,24
2019,강원도,강원도 화천군,101,9,178,8.91,20,71,10,0,4,19,4,1,61,9,1,2
2019,강원도,강원도 횡성군,203,9,371,4.43,30,161,12,0,4,28,11,9,123,12,3,13
2019,경기도,경기도 가평군,396,8,678,2.02,58,304,34,0,3,37,29,63,177,18,10,59
2019,경기도,경기도 고양시,3916,39,5794,1.0,707,3045,162,2,18,125,649,345,2081,285,130,283
2019,경기도,경기도 과천시,237,1,380,0.42,28,198,11,0,1,8,24,29,145,3,3,24
2019,경기도,경기도 광명시,1068,9,1504,0.84,231,789,48,0,0,27,175,198,474,86,27,81
2019,경기도,경기도 광주시,1867,20,2871,1.07,320,1441,106,0,11,128,132,207,1066,112,58,153
2019,경기도,경기도 구리시,751,6,1103,0.8,176,549,26,0,4,5,97,125,424,32,29,35
2019,경기도,경기도 군포시,650,3,1024,0.46,162,471,17,0,4,17,76,32,434,25,30,32
2019,경기도,경기도 김포시,1792,24,2787,1.34,321,1394,77,0,15,69,254,114,890,235,59,156
2019,경기도,경기도 남양주시,2411,31,3843,1.29,453,1854,104,0,7,150,321,243,1281,182,72,155
2019,경기도,경기도 동두천시,417,6,565,1.44,90,310,17,0,2,20,46,33,210,25,20,61
2019,경기도,경기도 부천시,3667,23,5108,0.63,891,2619,157,0,7,112,449,283,1987,335,145,349
2019,경기도,경기도 성남시,3801,39,5745,1.03,794,2828,179,0,11,106,485,524,2113,205,138,219
2019,경기도,경기도 수원시,4920,31,7044,0.63,1013,3751,156,0,22,151,747,663,2392,362,147,436
2019,경기도,경기도 시흥시,2480,30,3880,1.21,361,2031,88,0,26,77,418,366,1191,181,43,178
2019,경기도,경기도 안산시,3965,27,5942,0.68,653,3187,125,0,20,134,516,389,2107,379,87,333
2019,경기도,경기도 안성시,1014,16,1734,1.58,141,808,65,0,8,72,84,77,537,79,25,132
2019,경기도,경기도 안양시,1616,20,2366,1.24,337,1202,77,0,8,42,269,243,803,84,43,124
2019,경기도,경기도 양주시,1118,19,1685,1.7,144,899,75,0,4,57,172,147,549,98,17,74
2019,경기도,경기도 양평군,591,13,955,2.2,88,467,36,0,4,67,24,6,383,66,24,17
2019,경기도,경기도 여주시,592,17,983,2.87,71,460,61,0,10,37,58,28,383,31,7,38
2019,경기도,경기도 연천군,196,11,308,5.61,37,145,14,0,8,16,19,23,88,13,4,25
2019,경기도,경기도 오산시,1057,7,1582,0.66,180,855,22,0,6,33,160,77,615,95,31,40
2019,경기도,경기도 용인시,3485,34,5698,0.98,560,2795,130,0,11,138,398,236,2161,244,133,164
2019,경기도,경기도 의왕시,488,10,780,2.05,83,381,24,0,1,13,56,49,325,9,8,27
2019,경기도,경기도 의정부시,1704,17,2462,1.0,433,1209,62,0,9,45,235,148,880,172,75,140
2019,경기도,경기도 이천시,1102,33,1687,2.99,209,858,35,0,6,57,170,78,614,43,25,109
2019,경기도,경기도 파주시,1658,21,2408,1.27,319,1261,78,0,7,90,235,85,897,172,48,124
2019,경기도,경기도 평택시,3527,51,5730,1.45,553,2843,131,0,11,106,504,257,1914,221,73,441
2019,경기도,경기도 포천시,887,15,1475,1.69,122,708,57,0,4,72,116,83,464,62,15,71
2019,경기도,경기도 하남시,1082,17,1605,1.57,164,866,52,0,3,36,165,99,611,93,37,38
2019,경기도,경기도 화성시,3008,33,4782,1.1,451,2438,119,0,27,156,448,230,1641,247,85,174
2019,경상남도,경상남도 거제시,1011,17,1500,1.68,180,780,51,0,3,50,106,95,536,83,51,87
2019,경상남도,경상남도 거창군,250,15,320,6.0,38,186,26,0,1,14,23,8,181,2,4,17
2019,경상남도,경상남도 고성군,266,10,383,3.76,49,202,15,0,1,16,27,22,123,31,6,40
2019,경상남도,경상남도 김해시,2318,32,3450,1.38,419,1795,104,0,7,88,332,145,1371,159,71,145
2019,경상남도,경상남도 남해군,192,8,297,4.17,43,112,37,0,1,17,4,2,151,10,4,3
2019,경상남도,경상남도 밀양시,532,23,728,4.32,124,385,23,0,3,34,58,7,349,41,28,12
2019,경상남도,경상남도 사천시,668,11,1041,1.65,152,476,40,0,0,31,56,16,424,5,28,108
2019,경상남도,경상남도 산청군,173,2,297,1.16,27,121,25,0,0,25,12,3,99,28,3,3
2019,경상남도,경상남도 양산시,1286,25,1851,1.94,228,1002,56,0,12,61,170,143,596,128,42,134
2019,경상남도,경상남도 의령군,143,5,214,3.5,26,102,15,0,0,9,12,6,67,32,2,15
2019,경상남도,경상남도 진주시,842,28,1082,3.33,277,529,36,0,1,49,141,52,453,22,72,52
2019,경상남도,경상남도 창녕군,333,7,500,2.1,48,260,25,0,1,35,37,10,195,1,4,50
2019,경상남도,경상남도 창원시,3245,62,4524,1.91,838,2248,159,0,18,128,421,185,2035,108,154,196
2019,경상남도,경상남도 통영시,716,3,1135,0.42,176,509,31,0,3,34,70,105,322,63,31,88
2019,경상남도,경상남도 하동군,143,11,205,7.69,26,97,20,0,0,16,10,4,84,24,2,3
2019,경상남도,경상남도 함안군,327,17,494,5.2,55,238,34,0,3,16,29,9,222,23,10,15
2019,경상남도,경상남도 함양군,201,7,300,3.48,30,129,42,0,1,10,19,4,106,50,3,8
2019,경상남도,경상남도 합천군,184,10,242,5.43,30,120,34,0,3,15,10,3,120,18,4,11
2019,경상북도,경상북도 경산시,1239,22,1683,1.78,281,908,50,0,8,59,139,94,674,115,60,90
2019,경상북도,경상북도 경주시,1741,35,2714,2.01,271,1336,134,0,8,118,167,35,1259,14,41,99
2019,경상북도,경상북도 고령군,163,4,242,2.45,17,134,12,0,0,10,5,10,80,41,2,15
2019,경상북도,경상북도 구미시,2027,30,2989,1.48,318,1615,94,0,7,104,229,117,1146,223,75,126
2019,경상북도,경상북도 군위군(구),135,18,227,13.33,23,99,13,0,0,18,10,6,83,6,1,11
2019,경상북도,경상북도 김천시,683,17,952,2.49,139,497,47,0,6,37,70,19,389,95,30,37
2019,경상북도,경상북도 문경시,406,8,631,1.97,56,305,45,0,3,22,14,16,284,10,12,45
2019,경상북도,경상북도 봉화군,149,5,239,3.36,16,90,43,0,1,15,7,1,111,1,1,12
2019,경상북도,경상북도 상주시,630,26,893,4.13,75,481,74,0,5,25,43,12,411,96,18,20
2019,경상북도,경상북도 성주군,289,11,416,3.81,31,214,44,0,3,20,22,6,232,1,1,4
2019,경상북도,경상북도 안동시,1045,31,1562,2.97,164,793,88,0,8,41,77,100,623,48,40,108
2019,경상북도,경상북도 영덕군,234,9,344,3.85,38,163,33,0,1,23,7,10,151,16,1,25
2019,경상북도,경상북도 영양군,64,2,95,3.13,15,35,14,0,0,6,1,0,39,0,0,18
2019,경상북도,경상북도 영주시,555,11,741,1.98,127,400,28,0,2,25,31,2,378,71,27,19
2019,경상북도,경상북도 영천시,793,23,1351,2.9,114,608,70,1,10,50,59,44,489,56,18,67
2019,경상북도,경상북도 예천군,206,6,306,2.91,24,162,20,0,1,14,14,7,150,6,0,14
2019,경상북도,경상북도 울릉군,18,0,62,0.0,4,8,6,0,0,0,1,0,13,3,0,1
2019,경상북도,경상북도 울진군,171,6,235,3.51,26,122,23,0,0,20,6,7,93,16,3,26
2019,경상북도,경상북도 의성군,241,20,334,8.3,32,182,27,0,3,22,20,11,128,8,4,45
2019,경상북도,경상북도 청도군,212,13,323,6.13,26,156,30,0,0,22,14,4,124,25,7,16
2019,경상북도,경상북도 청송군,89,7,126,7.87,10,62,17,0,1,20,5,2,45,10,1,5
2019,경상북도,경상북도 칠곡군,781,17,1236,2.18,108,606,67,0,3,33,52,39,479,91,21,63
2019,경상북도,경상북도 포항시,2777,33,4269,1.19,480,2207,90,0,12,130,262,178,1533,191,82,389
2019,광주광역시,광주광역시 광산구,2129,15,3531,0.7,307,1747,75,0,13,77,285,302,1056,193,51,152
